Date,KOSPI,KOSPI200,KOSDAQ,KIS_BOND
2013-02-28,2551.3788,328.5866,610.0962,207.19932
2013-03-29,2527.2322,323.1788,631.9898,208.45142
2013-04-30,2475.6405,313.7677,642.0672,209.25432
2013-05-31,2522.4132,320.823,658.0087,207.65983
2013-06-28,2350.1663,297.4326,591.1113,206.3401
2013-07-31,2414.1373,304.455,631.2544,206.60814
2013-08-30,2429.697,309.0588,588.4738,207.27616
2013-09-30,2518.7587,320.3168,609.1808,208.39797
2013-10-31,2560.5622,327.6829,606.3905,208.93942
2013-11-29,2579.2146,330.9486,588.8744,207.89629
2013-12-31,2563.6341,327.7819,573.7727,209.2084
2014-01-31,2474.1821,313.7026,591.2273,209.79769
2014-02-28,2523.6953,320.55,607.0178,211.0871
2014-03-31,2530.9823,320.1784,621.5675,211.57152
2014-04-30,2500.6328,316.7299,641.9506,212.17267
2014-05-30,2542.9209,322.4484,627.2486,213.92896
2014-06-30,2553.326,323.3729,616.4847,215.60675
2014-07-31,2647.5894,334.6915,615.6353,217.11041
2014-08-29,2637.9303,329.3921,654.5298,217.85993
2014-09-30,2576.1574,318.6693,658.0667,220.0932
2014-10-31,2505.1888,310.8257,641.3975,222.06339
2014-11-28,2526.0496,314.8592,625.7615,222.97718
2014-12-31,2474.7585,307.0723,628.6526,223.16154
2015-01-30,2518.2659,314.4078,684.9334,226.28197
2015-02-27,2565.4799,316.3958,723.1178,225.85199
2015-03-31,2636.9281,323.7188,753.1624,228.45534
2015-04-30,2748.2287,335.219,797.7623,226.77456
2015-05-29,2732.2532,327.6319,823.6747,228.04619
2015-06-30,2682.1494,317.718,859.5472,227.5289
2015-07-31,2625.2089,307.6803,839.6335,228.33847
2015-08-31,2510.5559,293.1968,795.6908,229.7123
2015-09-30,2538.135,298.1212,785.7604,231.98623
2015-10-30,2624.3417,314.116,791.7247,231.97929
2015-11-30,2575.859,307.6047,797.2258,230.82597
2015-12-31,2577.0629,307.9293,794.9428,232.71642
2016-01-29,2512.3587,297.3225,795.467,234.25161
2016-02-29,2518.4096,300.5635,759.1421,236.30083
2016-03-31,2622.6097,314.9536,801.983,236.62689
2016-04-29,2620.3837,314.1081,815.2527,237.08889
2016-05-31,2606.2642,312.0969,813.7149,237.25242
2016-06-30,2590.9648,313.0057,786.5783,240.79134
2016-07-29,2651.2512,322.4161,822.8726,241.96029
2016-08-31,2675.5314,329.3265,773.2983,241.34435
2016-09-30,2687.5443,330.1529,793.7612,242.13205
2016-10-31,2640.9412,328.1527,727.8911,239.71683
2016-11-30,2608.4515,326.0114,694.6054,235.97245
2016-12-30,2709.8475,339.2689,740.5803,236.85035
2017-01-31,2764.8251,349.8119,722.624,237.06909
2017-02-28,2797.0156,352.3824,718.0148,237.4845
2017-03-31,2891.4303,366.6116,726.3275,237.371
2017-04-28,2951.947,375.1943,736.8363,237.79841
2017-05-31,3142.1191,398.003,764.7503,237.98221
2017-06-30,3205.9883,407.9081,784.7996,238.57091
2017-07-31,3220.7723,411.624,763.0166,239.04202
2017-08-31,3167.8652,403.3549,771.6703,239.01403
2017-09-29,3212.3582,414.2173,765.8607,238.6181
2017-10-31,3385.5301,436.875,814.406,236.47651
2017-11-30,3322.398,425.9784,904.9972,238.13385
2017-12-29,3358.2875,431.3904,941.567,238.36878
2018-01-31,3492.9895,442.8679,1077.362,236.62675
2018-02-28,3303.6742,415.6088,1010.7204,237.19603
2018-03-30,3334.3848,418.8014,1027.2798,238.67092
2018-04-30,3429.1759,430.7154,1033.0112,238.56925
2018-05-31,3303.2513,413.8893,1037.3864,239.33909
2018-06-29,3178.6897,399.9951,965.0505,241.13943
2018-07-31,3136.5079,397.0451,914.688,241.69334
2018-08-31,3174.2534,400.5424,963.5777,245.05325
2018-09-28,3207.3755,402.0113,969.9058,244.71409
2018-10-31,2778.399,353.183,765.1365,246.41751
2018-11-30,2870.3848,363.0022,820.6813,248.33083
2018-12-31,2841.4857,356.4788,802.4816,249.60644
2019-01-31,3069.5408,389.0134,851.4275,249.62541
2019-02-28,3056.4431,386.1695,868.5187,250.0102
2019-03-29,2985.6788,377.1143,866.2426,252.66009
2019-04-30,3073.439,388.6263,896.4473,252.98151
2019-05-31,2847.7026,359.9417,827.2367,255.48145
2019-06-28,2979.3121,379.6606,820.3162,256.86129
2019-07-31,2830.994,364.3921,748.6233,260.50355
2019-08-30,2751.6274,354.3499,725.3059,261.86957
2019-09-30,2890.318,375.1647,739.412,260.08806
2019-10-31,2918.9596,378.278,783.1279,257.1218
2019-11-29,2925.2419,379.5946,752.767,258.95719
2019-12-31,3124.6315,408.6494,802.1394,258.39854
2020-01-31,3012.796,395.796,769.387,260.10515
2020-02-28,2825.1212,372.8298,731.3656,263.49943
2020-03-31,2500.1201,330.3174,681.4962,260.48397
2020-04-30,2775.1201,360.0685,772.6426,261.40607
2020-05-29,2892.0276,374.2537,854.6755,263.98065
2020-06-30,3010.3852,391.6198,883.9264,263.53223
2020-07-31,3211.7712,418.5071,976.5508,265.28187
2020-08-31,3321.4353,429.4409,1016.0067,263.00883
2020-09-30,3329.2975,433.5289,1015.9518,264.83889
2020-10-30,3242.43,422.5449,949.4714,263.8033
2020-11-30,3706.1143,484.8199,1061.4219,262.94784
2020-12-31,4180.7414,555.1854,1165.6004,262.4273
2021-01-29,4330.2236,576.9627,1117.8291,262.39595
2021-02-26,4383.6871,584.5926,1100.0277,260.60769
2021-03-31,4459.786,592.8434,1150.88,259.55058
2021-04-30,4585.7104,603.2993,1183.7152,258.9946
2021-05-31,4667.4568,611.227,1181.7051,258.58594
2021-06-30,4812.483,628.3526,1239.9641,259.30891
2021-07-30,4674.9685,607.013,1241.3847,262.40668
2021-08-31,4670.5249,601.1134,1250.0436,262.60892
2021-09-30,4486.5331,575.7209,1207.8989,258.97994
2021-10-29,4343.056,557.3144,1194.7275,254.56572
